anchor,line,neg_response
I assume those are two separate points.,"You showed me disrespect, you embarrassed me and as long as I'm still work here you have!interrupted",Youre exactly right and you get a point.
"Oh, I looked into that philosopher you quoted, Jagger, and you're right, You can't always get what you want, but as it turns out if you try sometimes you get what you need.","So, because you want me to treat Patients, you aren't letting me treat Patients.","Huh. Well, you know, you cant have everything so you gotta ask yourself what makes you the happiest. You just go all in for whats most important. Thats my new thing."
I need you to do your job.,"Do the MRI, she folded.",I need you.
Just get some rest for now.,"Told you, can't trust people.","Alright, well, get some rest and drink plenty of fluids."
"She pRobably knew she was allergic to gadolinium, figured it was an easy way to get someone to cut a hole in her throat.","Can't get a picture, gonna have to get a thousand words.",As a matter of fact she said thats how I am going to die.
You actually want me to talk to the Patient? Get a history?,We need to know if there's some genetic or environmental causes triggering an inflammatory response.,"Wait, are you the patient or the doctor?"
I thought Everybody lied?,Truth begins in lies. Think about it.,I didnt lie.
"That doesn't mean anything,does it?","1252 PM Dr. House checks in, please write that down. Do you have cable TV here somewhere? General Hospital starts in 8 minutes.",How is being a weakness a compliment?
"No TV, but we've got Patients.",Can't you give out the aspirin yourself? I'll do paperwork.,"Im sorry, I dont own a TV."
I made sure your first case was an interesting one.,"Cough just won't go away, runny nose looks a funny color.","Mine was actually a pretty boring case, so"
Patient admitted complaining of back spasms.,I think I read about something like that in the New England Journal of Medicine.,Yeah. Back injuries are common. Not as common as knee injuries but more common than wrist injuries.
Patient is orange.,The color?,This is a hospital.
"No, the fruit.",You mean yellow it's jaundice.,"You said fruit, Michael."
I mean orange.,"Well, how orange?","No, orange is whorish."
What's that? What are you doing?,Painkillers.,What... Whats that? Whatcha doing?
"Oh, for you, for your leg.","No, 'cause they're yummy. You want one? It'll make your back feel better.","By the way, my leg is killing me."
"No, 'cause they're yummy. You want one? It'll make your back feel better.","Unfortunately, you have a deeper pRoblem. Your wife is having an affair.","Nono, II just, I liked them so much that I went out and bought some for myself."
Your wife is having an affair. What?!,"You're orange, you moron!",Your wife says you have something important to tell me.
"You're orange, you moron! It's one thing for you not to notice, but if your wife hasn't picked up on the fact that her husband has changed color, she's just not paying attention. By the way, do you consume just a ridiculous amount of carrots and mega-dose vitamins?","The carrots turn you yellow, the niacin turns you red. Get some finger-paints and do the math. And get a good Lawyer.","Oh, boy... look at you! Haha. Showing your colors. Bet you wish you wore a dress every day."
"The carrots turn you yellow, the niacin turns you red. Get some finger-paints and do the math. And get a good Lawyer.",Deep breath.,Feel free to retain a lawyer.
Deep breath. It's cold.,Has he been using his inhaler?,Im breathing heavily.
What happened to your leg?,"Your doctor pRobably was concerned about the strength of the medicine, too.","Something wrong with your leg, boy?"
What? The more often this happens!what?,"Forget it. If you don't trust steroids, you shouldn't trust doctors.","Yes, and this happens every."
You couldn't have knocked?,"Steroids. Give her steroids, high doses of prednisone.",You knocked more than usual.
Inflammation of the blood vessels in the brain is awfully rare. Especially for someone her age.,So is a tumor. Her SED rate was elevated.,Im afraid the situation is much worse than we expected.
"That could mean anything, or nothing.","Yeah, I know. I have no reason to think that it's vasculitus except that it could be.","Um, not everything means something, its just a joke."
You can't diagnose that without a biopsy.,"Yes, we can, we treat it. If she gets better we know that we're right.",The doctor will be right with you sir.
And if we're wrong?,We learn something else.,But what if Im wrong?
Parrots are the primary source of psitticosis.,It's not the parrot.,"Well, you cant get diseases from a bird!"
Psitticosis can lead to nerve pRoblems and neurological complications.,How Many kids were there in the class?,"I know, but Im a neurologist."
How Many kids were there in the class? 20,How Many are home sick?,Do you realize I have a classroom full of students?
"How Many are home sick? None, but!","None, but you think that 5 year olds are more serious about bird hygiene than their teacher. You've been through her home?","IIm not gonna be able to make it into work today, I dont feel very good."
She lives in Trenton. I can go up to her room tomorrow morning and ask her for the key.,Would the police call for permission before dropping by to check out a crime scene?,Is there a key for Jane Doe?
It's not a crime scene.,Far as I know she's running a Meth Lab out of her basement.,Hes right. Cops cant do anything until a crime has been reported.
She's a kindergarten teacher!,And if I was a Kindergarten student I would trust her implicitly.,"Oh, is she that teacher in the white?"
"Whoa, oh, I can't just break into someone's House.",Isn't that how you got into the Felker's home?,How? I guess I could break down your door.
I should thank him?,"Well, I needed somebody around here with street smarts. Ok? Knows when you're being conned, knows how to con.","Well, when you see him, tell him I say thank you."
I should sue you!,I'm pretty sure you can't sue somebody for wrongful hiring.,Youll see me in small claims court!
But I'm pretty sure I can sue if you fire me for not breaking into some lady's House.,I'm doing research. People are fascinating aren't they?,You know what the best part about this is?
Why are you giving Adler steroids?,"Well, she's my Patient that's what you do with Patients. You give them medicine.","Oh come on Ross, why are we wasting our time with this other stuff?"
You don't prescribe medicine based on guesses. At least we don't since Tuskeegee and Mengele.,You're comparing me to a Nazi? Nice.,And based on the fact that Mr.
I'm stopping the treatment.,She's my Patient.,Are you quitting?
It's my hospital.,"I did not get her sick, she is not an experiment, I have a legitimate theory about what's wrong with her.",I knew it.
With no proof.,There's nEver any proof. 5 different doctors come up with 5 different diagnoses based on the same evidence.,"No, but there are other ways of providing proof."
You don't have any evidence. And nobody knows anything huh? Then how is it that you always assume you're right?,"I don't, I just find it hard to operate on the opposite assumption. And why are you so afraid of making a mistake?","Yeah, the evidence is sort of stacked against me, I feel like."
Because I'm a doctor. Because when we make mistakes people die.,Come on.,Im a doctor.
Because when we make mistakes people die. Come on.,People used to have more respect for cripples you know! Turns to a guy in a wheelchair They didn't really.,Because there are so many terrible sights in this world.
Thank him for me. Right.,"Should I discontinue the treatment, boss?",Dont everyone thank me at once.
You got lucky.,"Cool, huh?",So you just got lucky?
"Given the latest symptoms it's clearly growing deeper into the brain stem. Soon she won't be able to walk, she'll go blind perManently, and then the respiratory center will fail.",How long do we have?,"If she can just hang on for a little while longer, Ithis will be so huge for our family."
"If it's a tumor we're talking a month, maybe two, if it's infectious a few weeks, if it's vascular that'll pRobably be fastest of all, maybe a week.",We're gonna stop all treatment.,No more than a week.
"Well, maybe we didn't see the effects until we started steroids.","No, it's not a tumor. The steroids did something, I just don't know what.","The Pharmacology Department controls that, and theyre all hopped up on experimental steroids."
So we're just gonna do nothing? We're just gonna watch her die?,"Yeah, we're gonna watch her die.",Well keep her alive.
"There's go to be something we can do, something better than watParkng her die.","Well, I got nothing. How 'bout you?",There must be something we can do.
I'm tired a lot.,Any other reason you think you may have Chronic Fatigue Syndrome?,"I just feel kind of tired, you know."
It's kinda the definition isn't it?,It's kinda the definition of getting older.,"Sure. Basically, theres no precise definition, but you know it when you see it. Ahem."
"I had a couple headaches last month, mild fEver, sometimes I can't sleep, and I have trouble concentrating.",Apparently not while researParkng this stuff on the internet.,My head hurts and Im more tired than ever.
I was thinking it also might be fibromyalgia.,"Looks contemplative, and then serious Excellent diagnosis sarcastic!","Ooh, its sympathy pains."
Is there anything for that?,"heavy sigh Ya know, I think there just might be.","Well, is there anything I could do to help?"
"heavy sigh Ya know, I think there just might be.","I need 36 Vicodin, and change for a dollar.","Yeah... yeah, I think there is. What were you gonna say?"
"jumbled, I can't tell",Exam room 2. Places the bottle back on the counter.,Not that kind of confused.
Did you stab a guy in a bar fight? Nothing.,It's not a tumor she's getting worse too fast. She can't stand up.,"Punches were going, and I ducked a few, landed a couple, and I was fighting them off."
Not that I could tell from her underwear drawer.,You said nothing that would explain these symptoms. What did you find that doesn't explain these symptoms?,"Well, no. But, um, I bet she probably does."
"Yes, yes, her name is Rebecca. I call her Rachel.",You idiot!,Her names Rebecca.
You idiot! Hey!listen!,"Not you, him! You said you didn't find anything.","What? Hey, hey, listen.."
Everything I found was in interrupted,You found ham.,Im sorry. Am I interrupting anything?
You found ham. So?,"Where there's ham there's pork, where there's pork there's neurocysticercosis.","You mean, like a ham?"
Tapeworm?! You think she's got a worm in her brain?,"It fits. Could have been living there for years, it nEver occurred to me interrupted",Okay! You know what? Might! Might be crawling with herpes. I might have gotten it after her.
Millions of people eat ham Every day. It's quite a leap to think that she's got a tapeworm.,"OK, Mr. Neurologist. What happens when you give steroids to a person who has a tapeworm?",Are you sure that you didnt eat bacon?
Just like Rebecca Adler did.,In a typical case if you don't cook pork well enough you ingest live tapeworm larvae.,And I intend to help her do it.
"Reproduce? There's only got one lesion, and it's nowhere near her bowel.","That's because this is not a typical case. Tapeworm can produce 20 to 30,000 eggs a day. Guess where they go.","Some eggs can rely dormant in a woman for years, they may not even know they have it."
Guess where they go. Out.,"Not all of them. Unlike the larvae, the egg can pass right through the walls of the intestines and into the blood stream. And where does the blood stream go?","Okay. Nope. Thats it. We are gonna go over there right now, and you are going to let them out."
And where does the blood stream go? Everywhere.,As long as it's healthy the immune system doesn't Even know it's there.,Dont think of it that way.
"As long as it's healthy, so what do we do? Call a vet and nurse the little guy back to health?",It's too late for that.,"Ok, I talked to the vet, people are so nice upstate."
It's only abnormal in 30% of cases. Proving nothing.,"No, no, no, no, you see, it fits, it's perfect! It explains Everything.",I dont think thats very common.
But it proves nothing.,I can prove it by treating it.,"Oh, quite sure."
"No, you can't. I was just with her, she doesn't want any more treatments, she doesn't want any more experiments, she wants to go home and die.","To nurse Will you excuse us, please?",I have nowhere else to go.
"To nurse Will you excuse us, please?",I'm Dr. House.,Do you want me to get the nurse?
It's good to meet you.,"You're being an idiot. Ahem. Pause You have a tapeworm in your brain, it's not pleasant, but if we don't do anything you'll be dead by the weekend.",Does it smell like blueberries?
Have you actually seen the worm?,When you're all better I'll show you my diplomas.,Have you ever met the Blackfish?
You were sure I had vasculitus too. Now I can't walk and I'm wearing a,"I'm not talking about a treatment I'm talking about a cure. But because I might be wrong, you want to die.","I told you my mom has spider veins, I had to take her to the laser clinic."
What made you a cripple?,I had an infarction.,Im not a cripple.
A heart attack?,It's what happens when the blood flow is obstructed.,"Asthma, heart, some kind of attack."
Wasn't there something they could do?,"There was plenty they could do, if they made the right diagnosis, but the only symptom was pain. Not may people get to experience muscle death.","There wasnt. But, but even if there was, what are you gonna do about it?"
Did you think you were dying?,I hoped I was dying.,You think about dying?
"So you hide in your office, refuse to see Patients because you don't like the way people look at you. You feel cheated by life so now you're gonna get Even with the world. You want me to fight this. Why? What makes you think I'm so much better than you?","When you're scared, you'll turn into me.",Why dont you stand up to them?
I just want to die with a little dignity.,There's no such thing!,DO YOU WANT TO DIE?
"There's no such thing! Our bodies break down, sometimes when we're 90, sometimes before we're Even born, but it always happens and there's nEver any dignity in it. I don't care if you can walk, see, wipe your own ass. It's always ugly, always. Pause You can live with dignity, we can't die with it.",No treatment.,Until nothing is left of you but bones!
"Maybe we can get a court order, override her wishes. Claim she doesn't have the capacity to make this decision.",But she does.,She doesnt get to choose.
Pretty common result.,That didn't happen here.,Ive never seen results like this before.
"So because you respect her, you're going to let her die?","I solved the case, my work is done.","Or let her go, which I will reward with a quicker death."
"I solved the case, my work is done.","Patients always want proof, we're not making cars here, we don't give guarantees.",The problem appears to be unsolvable.
"I think we can prove it's a worm. It's noninvasive, it's safe. I'm not completely sure but!interrupted","Yeah, yeah, yeah what's the damn idea?",Hey! So what is this? Some kind of snake or something?
"Which is the same thing as a CT scan, which we did, which proved nothing.","Worm cysts is the same density as the cerebrospinal fluid, we're not going to see anything in her head, but Chase is right, he's right, we should x-ray her, but we don't x-ray her brain, we x-ray her leg, worms love thigh muscle.",Then we have to await the data from recent MRI scans and DNA testing which call into question information gathered from years of simple carbon dating.
Why did you hire me?,Does it matter?,Why do you wanna work here?
Kinda hard to work for a guy who doesn't respect you.,Why?,You dont want to work for a guy like that.
Is that rhetorical?,"No, it just seems that way because you can't think of an answer.",Why are you such a stupid head?
You hired a black guy because he had a juvenile record.,"No, it wasn't a racial thing, I didn't see a black guy.","Anyway, he had a bunch of outstanding tickets and a bench warrant, so I, you know, I paid his fines."
You hired me to get into my pants?!,I can't beliEve that that would shock you.,But I hired you!
I was in the top of my class.,But not THE top.,I was allcounty my junior and senior years.
I did an internship at the Mayo Clinic.,"Yes, you were a very good applicant.",I went to medical school.
But not the best?,"Would that upset you, really, to think that you were hired because of some genetic gift of beauty not some genetic gift of intelligence?","Its not the best Best Western Ive been to, but Id say its the third best Best Western Ive been to."
I worked very hard to get where I am.,But you didn't have to.,You all have clearly put in a lot of hard work.
Am I supposed to be flattered?,Gorgeous women do not go to medical school. Unless they're as damaged as they are beautiful. Were you abused by a family member?,Is there any chance that you can look at this as flattering?
Were you abused by a family member? No!,Sexually assaulted?,"Oh, Im sorry."
Sexually assaulted? No.,"But you are damaged, aren't you?",I was raped.
Hold on. She's converted.,You said she was your cousin. Why would you lie?," talking Chester avenue, talking triplex, talking converting."
It got you to take the case.,"You lied to a friend to save a stranger, you don't think that's screwed up?",You took something that doesnt belong to you.
You've nEver lied to me?,I NEveR lie.,"Ya know, in all the years that we have been grandmother and granddaughter, you have never lied to me."
He says he needs a refill.,Got change for a dollar?,Do you want a refill?
"Dan, Dan, get a doctor! Hey!",Close the door. Close the door!,"Ross, seriously! Youve gotta go to an appropriate doctor."
Is Cuddy down the hall counting to 50?,"She's knows I'm in here, the clinic, as she comManded she just doesn't know I'm alone.","Oh, right. David, are you coming to my fifteenth anniversary party?"
"Well, you've got a full waiting room, how long do you think you can ignore them?",I'm off at 400.,"And you should take breaks more often, Ive been waiting there for 45 minutes."
You're doing this to avoid 5 minutes of work?,"I go out there, I get assigned a kid with a runny nose.",Concentrating? Is anyone having trouble getting their work done today?
"Yes, concerned parents can be so annoying. Just tell Cuddy you've got an urgent case, you had to leave early.",That would be lying.,"Oh my god, my parents are so loud, I want to die."
"And that would be wrong. But luckily, the definition of urgent is fungible.",Not the definition of case though.,"Phoebe, you said it was urgent!"
"You have no cases. You have NO cases. You've got handpicked doctors, specialists, working for you, and they're sitting on their hands?",Cameron is answering my mail.,"The problem, Jim, is that people who are really suffering from a medical condition wont receive the care they need, because someone in this office is coming up with all this ridiculous stuff."
Time well spent I'm sure. Foreman and Chase?,Research?,Greg Malins Adam Chase
Huh Fills in the space,"So, 403 PM. Dr. House checks out. Please write that down.",Huh? Ooh you mean like a Huh?
Dr. House. from now on he'll just be called Dad,"Sorry, done for the day. There's plenty of docs here to take care of you.","Dad, he wants to be called snowball."
But we had an appointment.,"Hah, nice try, but this is a walk-in clinic, which means there are no appointments.","So we made you an appointment, and we want you to keep it."
But your letter says that we would see you.,Not a big letter writer.,I wrote you a letter.
Not a big letter writer. Here.,When did my signature get so girly?,Ive been drafting a letter.
I can explain.,"See that G, see how it makes a big loop on top?",Oh. You could tell it to me.
"It's impossible to get to you through normal channels, they have called!interrupted",PersEverance does not equal worthiness. Next time you want to get my attention wear something fun. Low-rider jeans are hot.,"If youd like to reach an outside line, please dial nine first."
"16 year old male, sudden onset of double vision and night terrors, with no apparent cause. The kid's been to 2 neurologists!interrupted","Night terrors, yeah? As in big scary monsters?",Episodes of sub psychotic rage.
Where are you going?,To see the family.,"Anyway, Dads gonna be here in town, so I wont be able to do Christmas dinner this year."
You're going to examine a Patient?,"9 times out of 10 there's no reason to talk to a Patient, but night terrors in a 16 year old is a VERY good reason to talk to this family.","A doctors office, Rachel is on an examining table with her legs in the stirrups."
"9 times out of 10 there's no reason to talk to a Patient, but night terrors in a 16 year old is a VERY good reason to talk to this family. Good work.","Margins look fine. No lesions, color is good. How long have you been having night terrors?","Oh, honey, honey, tell them the story about your patient who thinks things are, like, other things."
What does that tell you?,"Nothing, it's just fun watParkng him blink. To Dan Name as Many animals as you can that begin with the letter B go.","Anyway, Dads gonna be here in town, so I wont be able to do Christmas dinner this year."
To Dan Name as Many animals as you can that begin with the letter B go. Baby elephant.,Baby elephant is actually a good answer B is a bear of a letter.,"Excuse me. If were changing topics, I believe I have first dibs with capybara, a rodent the size of a baby hippo."
What does that tell you?,"Proves two things, no neurological damage, and your son is nEver going to be Parkef fry cook.",Are you referring to the time we got stuck on the Small World ride at Disneyland?
"In teens there are two likely causes of night terrors post traumatic stress, any recent shootouts at your high school? No.","Well, then, Dave!","Oh. Well, so the emotional turmoil thats been keeping me from achieving REM sleep was entirely unjustified?"
"Well, then, Dave! Dan",!if there's no trauma the other cause is sexual abuse.,"Hi, Dave. Uh, its Amy."
We would nEver do anything to hurt Dan.,"I say it here, it comes out there. This lack of response is consistent with abuse.","Yeah. All right, Im gonna go tell Dan that its not gonna happen. Dont do the dance."
"There's no one, ok? I swear. There was trauma I got hit in the head during a lacrosse game.",To Cameron Did you know that he got hit in the head?,"Oh, I know Im going to regret this but, what trauma?"
"They didn't mention it, no.","Yeah, why bother.","No, she never mentioned it."
"No, no, we took him to the ER after the game. He was scanned, they tested him, they said he was fine. No concussion, it's gotta be something else.","You hound me for my opinion and then question my diagnosis. Cool. ER obviously screwed up, kid's got a concussion.","Uh, ok, I think we need to take him to the hospital because Im pretty sure he has a concussion."
I had double vision before I got hit.,"Well, that changes Everything, you need glasses.","Well, is there any chance you were looking into a bright, shiny thing called a mirror?"
"You enjoyed that. I brought a reasonable case to your attention, and you shoved it in my face just to humiliate me.","You're an only Parkld, aren't you?","Well, you defended me, right?"
Why would you say that?,Everything is about you.,Things have been generally good.
I'm not an only Parkld.,attention on Dan Interesting.,The park huh?
attention on Dan Interesting. What?,Don't move. Did I bore you in there?,"Dan, could I talk to you for a minute?"
"What? Ah, no, not, not really.",Are you tired?,"Uh, no. Nope. Not really."
He nEver sleeps! Of course he's tired.,"Right now, at this moment, are you tired?","You better believe hes tired, after the day we had!"
"Right now, at this moment, are you tired? No, no.",That twitch in your leg. Did you feel that?,Whyre you so tired?
His leg twitched. I don't see what!interrupted,"It's called a myoclonic jerk, it's very common when you're falling asleep.",Something just moves past my leg!
"Respiration rate falls, and the brain interprets this as the body dying, so it sends a pulse to wake it up. So?","So, he's not asleep, he's awake. Turns to Cameron Admit him.","Okay, Sheldon. What happens to our neuroreceptors when we dont get enough REM sleep?"
"So, he's not asleep, he's awake. Turns to Cameron Admit him.","I recognize that loopy G. So, what does the jerk tell us?","Sheldon, wait. You have to wake up first."
"Nothing good, the brain's losing control of the body. Can't order the eyes to focus, regulate sleep patterns or control muscle movements.","A movement disorder, or degenerative brain disease. Either way this kid's gonna be picking up his diploma in diapers and a wheelchair.",A little tremor that turns routine sinus surgery into a frontal lobotomy.
"Maybe not that bad, could be an infection.","You wish. No fEver, no white count. Anyone think this differential diagnosis might be compromised because we don't have an accurate family history?","I think you just have a cold, its definitely not Strep."
I took an accurate family history.,You didn't Even take an accurate family. His father's not his father.,"Uh, he took the SATs for me."
Why would you say that?,30% of all dads out there don't realize they're raising someone else's kid.,"Hi. Sorry Im late, I was at an audition."
From what I've read false paternity is more like 10%.,That's what our moms would like us to beliEve.,Thats it! 25 percent? That means thats its like 75 percent chance of no baby at all!
"Who cares? If he got it from his parents they'd both be dead by now, can we get on with the differential diagnosis?",Fifty bucks says I'm right.,"We dont know, his mother never had him tested."
I'll take your money.,"Hit a nerve? Don't worry, Foreman. I'm sure the guy who tucked you in at night was your daddy.","Here you go, you can pay me back whenever you like."
"It doesn't necessarily have to be that bad. If we exclude the night terrors it could be something systemic his liver, kidneys, something outside the brain.","Yes, feel free to exclude any symptom if it makes your job easier.","A kidney, cornea, piece of his liver?"
That's a night terror. Parents said?,That's a good point.,Someone once told me the night is dark and full of terrors.
I usually don't move during night terrors.,I'm not restraining you for them. EEG rEvealed abnormalities in your brain caused by nerve damage in your toes.,Can you guarantee that it wont happen at any time during the night?
Whimpering What are you doing?,Fixing it.,Whats up?
Still whimpering Can I talk to my parents?,"Oh, they know all about this.","Yeah, I really dont want to talk about my parents now."
I'd really like to see them. Whimpering after pause Please! I'd really like them here.,"This is gonna hurt, Dan.",Would you like to see them?
"We did a CT, MRI, CBC, Chem-7 and chest x-ray. All the tests came back normal. There's nothing to explain his symptoms.","Ok, but let's pretend there's something and go from there. Who sees something on this MRI?","Uh hmm, he should be fine, but, uh, they brought him in for a CAT scan."
No space-occupying tumors.,"He's 16, so he should have an absolutely pristine brain. The smallest thing is abnormal.","What? No! Wait, no. Definitely not cancer."
Meningeal enhancement. My bet is viral meningitis.,"Excellent, you see what he did there? He took a small clue that there's a neurological pRoblem and wasn't afraid to run with it.","Possible Tourettes. All right, moles, lesions or other skin conditions. Soup tattoo on right buttock."
There's no evidence of meningitis on that MRI.,"No, there's not, he's completely wrong.","Yup, theres no inflammation at all, Sheldon."
Then what clue are you talking about?,"He knew that I saw something on the MRI so he figured there must be something there and took a guess. ClEver, but also pathetic.","Ooh. Okay, lets hope one of the clues is written on a pair of clean underwear."
"So, what did you find?",Take a close look at the corpus callosum.,Can we see that?
It looks ok.,"Are we all looking at the same thing? 200 million interhemispheric nerve fibers, the George Washington Bridge between the left and right side of the brain. It's subtle.","Just like Schrodingers Cat, your potential relationship with Leonard right now can be thought of as both good and bad."
"There's some bowing, there. An upward arch.",Are you guessing?,Did you just bow?
Are you guessing? Yes.,"Too bad, you're right.",No. It was just a guess.
"He pRobably just moved, nobody stays perfectly still for their entire MRI.","Yeah, he pRobably got restless and shifted one hemisphere of his brain to a more comfortable position. Something is pushing on it.","Oh, and also, hes, hes walkin kind of funny, his left leg is moving a lot faster than his right leg, and hes in there just sort of yknow."
If there's bowing it could be a tumor.,Do you see a tumor on this MRI?,"Well, he said theres definitely nothing to worry about, its totally benign."
"No, but I don't see any bowing, either.","There's no tumor, just a blockage causing pressure, causing symptoms. Today",You need legs to work a bow.
"No more pressure, Everything goes back to normal.",He's lucky to have you as his doctors.,You have to relax your muscles around the bladder.
"No formula, just mommy's healthy natural breast milk.",Yummy.,I got bottled breast milk.
Her whole face just got swollen like this overnight.,"Mmhmm. No fEver, glands normal, missing her vaccination dates.",Shes probably exhausted from all that adorable screaming she did last night.
"Takes a toy frog and starts to make frog sounds Gribbit, gribbit, gribbit. Giggles",Think they don't work?,"Whats green and says hey, Im a frog?"
I think some multinational pharmaceutical company wants me to think they work. Pad their bottom line.,Mmmm. May I? He takes the frog and starts to do the gribbit noise with the baby,"Are these pills supposed to wake me up, or something?"
He takes the frog and starts to do the gribbit noise with the baby Whispered Sure.,"Gribbit, gribbit, gribbit.",Hes talking to the baby.
"Gribbit, gribbit, gribbit. The baby laughs All natural, no dyes. That's a good business all-natural Parkldren's toys. Those toy companies, they don't arbitrarily mark up their frogs. They don't lie about how much they spend on research and dEvelopment. The worst a toy company can be accused of is making a really boring frog.","Gribbit, gribbit, gribbit.",The little choochoo for toddlers?
Tell me what she has.,A cold.,You have more than she does.
There's a pRoblem.,Complications in surgery?,Weve got a problem.
"Surgery went fine, he's in recovery, but we took a vial of CSF and tested it.",Really?,The infection no longer appears to be active.
"Oligoclonal bands, and an increase of intrathecal IGG.",Which means multiple sclerosis. And the reason it takes three of you to tell me this?,"OK, well, if youve never been sick, then you dont have any antibodies."
McDonald criteria requires six months to make a definitive diagnosis.,"Oh, who cares about McPherson? I hear he tortured kittens.",They said it could be up to a year.
I hear he tortured kittens. McDonald.,"Oh, McDonald. Wonderful doctor, loved kittens.",Prison Mike? What was the food like in prison?
Without the lesions we can't be sure.,"Well if it is, it's gone from 0 to 60 in three weeks, which would indiCate rapidly progressive MS.",We dont know what could make this go away.
We should wait until we interrupted,"Start treating him now, he can walk for another couple of years, maybe live for another 5. Break it to the family. I'm going home.","At my last head shot sitting, I was so distracted wondering what I was missing at work that I came across totally manic."
I'm not here. Leave a message.,"Dr. Cuddy, great outfit.",Im sorry. Im not here.
